TMC,AREATYPE
110N05468,Urbanized
110-05467,Rural
110N05467,Rural
110-05466,Urbanized
110N05466,Urbanized
110-05465,Urbanized
110N05465,Urbanized
110-05464,Urbanized
110N05464,Urbanized
110-05463,Urbanized
110N05463,Urbanized
110-05462,Rural
110+05427,Rural
110P05427,Rural
110+05428,Rural
110P05428,Rural
110+05429,Rural
110P05429,Rural
110+05430,Rural
110P05430,Rural
110+05431,Rural
110P05431,Rural
110+05432,Rural
110P05432,Rural
110+05433,Rural
110P05433,Rural
110+05434,Rural
110P05434,Rural
110+05435,Rural
110P05435,Rural
110+05436,Rural
110P05436,Rural
110+05437,Rural
110P05437,Rural
110+05438,Rural
110P05438,Rural
110+05439,Rural
110P05439,Rural
110+05440,Rural
110P05440,Urbanized
110+05441,Urbanized
110+04827,Urbanized
110P04827,Urbanized
110+04828,Rural
110P04828,Urbanized
110N04828,Urbanized
110-04827,Urbanized
110N04827,Urbanized
110-04826,Urbanized
110-05440,Urbanized
110N05440,Urbanized
110-05439,Rural
110N05439,Rural
110-05438,Rural
110N05438,Rural
110-05437,Rural
110N05437,Rural
110-05436,Rural
110N05436,Rural
110-05435,Rural
110N05435,Rural
110-05434,Rural
110N05434,Rural
110-05433,Rural
110N05433,Rural
110-05432,Rural
110N05432,Rural
110-05431,Rural
110N05431,Rural
110-05430,Rural
110N05430,Rural
110-05429,Rural
110N05429,Rural
110-05428,Rural
110N05428,Rural
110-05427,Rural
110N05427,Rural
110-05426,Rural
110+05415,Rural
110P05415,Rural
110+05416,Rural
110P05416,Rural
110+05417,Rural
110P05417,Urban Cluster
110+05418,Rural
110+05419,Rural
110P05419,Urban Cluster
110+05420,Rural
110P05420,Rural
110+05421,Rural
110P05421,Rural
110+05422,Rural
110P05422,Rural
110+05423,Rural
110P05423,Rural
110+05424,Rural
110P05424,Rural
110+05425,Rural
110+04798,Rural
110P04798,Rural
110+04799,Rural
110P04799,Rural
110+04800,Rural
110P04800,Rural
110+04801,Rural
110P04801,Rural
110+04803,Urbanized
110P04803,Urbanized
110+04804,Urbanized
110P04804,Urbanized
110+04805,Urbanized
110P04805,Urbanized
110+04806,Urbanized
110P04806,Urbanized
110+04807,Urbanized
110P04807,Urbanized
110+04808,Urbanized
110P04808,Urbanized
110+04809,Urbanized
110P04809,Urbanized
110+04810,Urbanized
110P04810,Urbanized
110+04811,Rural
110P04811,Rural
110+04812,Urbanized
110P04812,Urbanized
110+04813,Rural
110P04813,Urbanized
110+04814,Urbanized
110P04814,Urbanized
110+04815,Rural
110P04815,Urbanized
110+04816,Urbanized
110P04816,Urbanized
110+04817,Urbanized
110P04817,Urbanized
110+04818,Rural
110P04818,Urbanized
110+04819,Urbanized
110P04819,Urbanized
110+04820,Urbanized
110P04820,Urbanized
110+04821,Urbanized
110P04821,Urbanized
110+04785,Urbanized
110P04784,Urbanized
110P04785,Urbanized
110+04786,Urbanized
110P04786,Urbanized
110+04787,Urbanized
110P04787,Urbanized
110+04788,Urbanized
110P04788,Urbanized
110+04789,Urbanized
110P04789,Urbanized
110+04790,Urbanized
110P04790,Rural
110+05379,Rural
110P05379,Rural
110+05380,Rural
110P05380,Urbanized
110+05381,Rural
110P05381,Rural
110+05382,Rural
110P05382,Rural
110+05383,Rural
110P05383,Rural
110+05384,Rural
110+05390,Rural
110P05390,Rural
110+04925,Rural
110P04925,Urbanized
110+04926,Urbanized
110P04926,Urbanized
110+04927,Urbanized
110+04143,Rural
110P04143,Rural
110+04144,Rural
110P04144,Urbanized
110+04145,Urbanized
110P04145,Urbanized
110+04146,Urbanized
110P04146,Rural
110+04147,Rural
110P04147,Rural
110+04148,Rural
110P04148,Urbanized
110+04149,Urbanized
110P04149,Urbanized
110+04150,Urbanized
110P04150,Urbanized
110+04151,Urbanized
110P04151,Urbanized
110+04152,Urbanized
110P04152,Urbanized
110+04153,Urbanized
110P04153,Urbanized
110+04154,Urbanized
110P04154,Urbanized
110+04155,Urbanized
110P04155,Urbanized
110+04156,Urbanized
110P04156,Urbanized
110+04157,Urbanized
110P04157,Urbanized
110+04158,Urbanized
110+04159,Urbanized
110-04158,Urbanized
110-04156,Urbanized
110N04156,Urbanized
110N04155,Urbanized
110-04154,Urbanized
110N04154,Urbanized
110-04153,Urbanized
110N04153,Urbanized
110-04152,Urbanized
110N04152,Urbanized
110-04151,Urbanized
110N04151,Urbanized
110-04150,Urbanized
110N04150,Urbanized
110-04149,Urbanized
110N04149,Urbanized
110-04148,Urbanized
110N04148,Urbanized
110-04147,Rural
110N04147,Rural
110-04146,Rural
110N04146,Rural
110-04145,Rural
110N04145,Urbanized
110-04144,Urbanized
110N04144,Urbanized
110-04143,Rural
110N04143,Rural
110-04142,Rural
110-04926,Rural
110N04926,Urbanized
110-04925,Urbanized
110N04925,Urbanized
110-05390,Rural
110N05390,Rural
110-05389,Rural
110-05383,Rural
110N05383,Rural
110-05382,Rural
110N05382,Rural
110-05381,Rural
110N05381,Rural
110-05380,Rural
110N05380,Urbanized
110-05379,Rural
110N05379,Rural
110-04790,Rural
110N04790,Urbanized
110-04789,Urbanized
110N04789,Urbanized
110-04788,Urbanized
110N04788,Urbanized
110-04787,Urbanized
110N04787,Urbanized
110-04786,Urbanized
110N04786,Urbanized
110-04785,Urbanized
110N04785,Urbanized
110-04784,Urbanized
110N04784,Urbanized
110N04821,Urbanized
110-04820,Urbanized
110N04820,Urbanized
110-04819,Urbanized
110N04819,Urbanized
110-04818,Urbanized
110N04818,Urbanized
110-04817,Rural
110N04817,Urbanized
110-04816,Urbanized
110N04816,Urbanized
110-04815,Urbanized
110N04815,Urbanized
110-04814,Urbanized
110N04814,Urbanized
110-04813,Urbanized
110N04813,Urbanized
110-04812,Urbanized
110N04812,Urbanized
110-04811,Rural
110N04811,Rural
110-04810,Rural
110N04810,Urbanized
110-04809,Urbanized
110N04809,Urbanized
110-04808,Urbanized
110N04808,Urbanized
110-04807,Urbanized
110N04807,Urbanized
110-04806,Urbanized
110N04806,Urbanized
110-04805,Urbanized
110N04805,Urbanized
110-04804,Urbanized
110N04804,Urbanized
110-04803,Urbanized
110N04803,Urbanized
110-04802,Urbanized
110-04801,Rural
110N04801,Rural
110-04800,Rural
110N04800,Rural
110-04799,Rural
110N04799,Rural
110-04798,Rural
110N04798,Rural
110-04797,Rural
110-05424,Rural
110N05424,Rural
110-05423,Rural
110N05423,Rural
110-05422,Rural
110N05422,Rural
110-05421,Rural
110N05421,Rural
110-05420,Rural
110N05420,Rural
110-05419,Rural
110N05419,Rural
110-05418,Rural
110-05417,Rural
110N05417,Urban Cluster
110-05416,Rural
110N05416,Rural
110-05415,Rural
110N05415,Rural
110-05414,Rural
